,category,subcategory,type,clothes_type,parameters,paramValueUnion,paramCombinations,transcriptTypeParams
52,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-regular', 'fit-regular', 'neckline-U-neck']",length-regular fit-regular neckline-U-neck cardigan
53,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-regular', 'fit-oversize', 'neckline-round_neck']",length-regular fit-oversize neckline-round_neck cardigan
54,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-regular', 'fit-oversize', 'neckline-V-neck']",length-regular fit-oversize neckline-V-neck cardigan
55,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-regular', 'fit-oversize', 'neckline-U-neck']",length-regular fit-oversize neckline-U-neck cardigan
56,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-extended', 'fit-regular', 'neckline-round_neck']",length-extended fit-regular neckline-round_neck cardigan
57,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-extended', 'fit-regular', 'neckline-V-neck']",length-extended fit-regular neckline-V-neck cardigan
58,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-extended', 'fit-regular', 'neckline-U-neck']",length-extended fit-regular neckline-U-neck cardigan
59,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-extended', 'fit-oversize', 'neckline-round_neck']",length-extended fit-oversize neckline-round_neck cardigan
60,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-extended', 'fit-oversize', 'neckline-V-neck']",length-extended fit-oversize neckline-V-neck cardigan
61,top,sweaters,cardigan,cardigan,"[{'name': 'length', 'values': ['cropped', 'regular', 'extended']}, {'name': 'fit', 'values': ['regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck']}]","[['length-cropped', 'length-regular', 'length-extended'], ['fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck']]","['length-extended', 'fit-oversize', 'neckline-U-neck']",length-extended fit-oversize neckline-U-neck cardigan
62,top,sweaters,turtleneck,,,,,turtleneck
63,top,sweaters,vest,,,,,vest
64,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-cropped', 'fit-slim', 'neckline-round_neck']",length-cropped fit-slim neckline-round_neck t-shirt
65,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-cropped', 'fit-slim', 'neckline-V-neck']",length-cropped fit-slim neckline-V-neck t-shirt
66,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-cropped', 'fit-slim', 'neckline-U-neck']",length-cropped fit-slim neckline-U-neck t-shirt
67,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-cropped', 'fit-slim', 'neckline-boat_neck']",length-cropped fit-slim neckline-boat_neck t-shirt
68,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-cropped', 'fit-regular', 'neckline-round_neck']",length-cropped fit-regular neckline-round_neck t-shirt
69,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-cropped', 'fit-regular', 'neckline-V-neck']",length-cropped fit-regular neckline-V-neck t-shirt
70,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-cropped', 'fit-regular', 'neckline-U-neck']",length-cropped fit-regular neckline-U-neck t-shirt
71,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-cropped', 'fit-regular', 'neckline-boat_neck']",length-cropped fit-regular neckline-boat_neck t-shirt
72,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-cropped', 'fit-oversize', 'neckline-round_neck']",length-cropped fit-oversize neckline-round_neck t-shirt
73,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-cropped', 'fit-oversize', 'neckline-V-neck']",length-cropped fit-oversize neckline-V-neck t-shirt
74,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-cropped', 'fit-oversize', 'neckline-U-neck']",length-cropped fit-oversize neckline-U-neck t-shirt
75,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-cropped', 'fit-oversize', 'neckline-boat_neck']",length-cropped fit-oversize neckline-boat_neck t-shirt
76,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-regular', 'fit-slim', 'neckline-round_neck']",length-regular fit-slim neckline-round_neck t-shirt
77,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-regular', 'fit-slim', 'neckline-V-neck']",length-regular fit-slim neckline-V-neck t-shirt
78,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-regular', 'fit-slim', 'neckline-U-neck']",length-regular fit-slim neckline-U-neck t-shirt
79,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-regular', 'fit-slim', 'neckline-boat_neck']",length-regular fit-slim neckline-boat_neck t-shirt
80,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-regular', 'fit-regular', 'neckline-round_neck']",length-regular fit-regular neckline-round_neck t-shirt
81,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-regular', 'fit-regular', 'neckline-V-neck']",length-regular fit-regular neckline-V-neck t-shirt
82,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-regular', 'fit-regular', 'neckline-U-neck']",length-regular fit-regular neckline-U-neck t-shirt
83,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-regular', 'fit-regular', 'neckline-boat_neck']",length-regular fit-regular neckline-boat_neck t-shirt
84,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-regular', 'fit-oversize', 'neckline-round_neck']",length-regular fit-oversize neckline-round_neck t-shirt
85,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-regular', 'fit-oversize', 'neckline-V-neck']",length-regular fit-oversize neckline-V-neck t-shirt
86,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-regular', 'fit-oversize', 'neckline-U-neck']",length-regular fit-oversize neckline-U-neck t-shirt
87,top,t-shirts,t-shirt,t-shirt,"[{'name': 'length', 'values': ['cropped', 'regular']}, {'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['length-cropped', 'length-regular'], ['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['length-regular', 'fit-oversize', 'neckline-boat_neck']",length-regular fit-oversize neckline-boat_neck t-shirt
88,top,t-shirts,long_sleeve_t-shirt,long_sleeve_t-shirt,"[{'name': 'fit', 'values': ['regular', 'oversize']}]","[['fit-regular', 'fit-oversize']]",['fit-regular'],fit-regular long_sleeve_t-shirt
89,top,t-shirts,long_sleeve_t-shirt,long_sleeve_t-shirt,"[{'name': 'fit', 'values': ['regular', 'oversize']}]","[['fit-regular', 'fit-oversize']]",['fit-oversize'],fit-oversize long_sleeve_t-shirt
90,top,t-shirts,polo,,,,,polo
91,top,shirts,short_sleeve_shirt,short_sleeve_shirt,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}]","[['fit-slim', 'fit-regular', 'fit-oversize']]",['fit-slim'],fit-slim short_sleeve_shirt
92,top,shirts,short_sleeve_shirt,short_sleeve_shirt,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}]","[['fit-slim', 'fit-regular', 'fit-oversize']]",['fit-regular'],fit-regular short_sleeve_shirt
93,top,shirts,short_sleeve_shirt,short_sleeve_shirt,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}]","[['fit-slim', 'fit-regular', 'fit-oversize']]",['fit-oversize'],fit-oversize short_sleeve_shirt
94,top,shirts,long_sleeve_shirt,long_sleeve_shirt,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}]","[['fit-slim', 'fit-regular', 'fit-oversize']]",['fit-slim'],fit-slim long_sleeve_shirt
95,top,shirts,long_sleeve_shirt,long_sleeve_shirt,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}]","[['fit-slim', 'fit-regular', 'fit-oversize']]",['fit-regular'],fit-regular long_sleeve_shirt
96,top,shirts,long_sleeve_shirt,long_sleeve_shirt,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}]","[['fit-slim', 'fit-regular', 'fit-oversize']]",['fit-oversize'],fit-oversize long_sleeve_shirt
97,top,shirts,denim_shirt,denim_shirt,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}]","[['fit-slim', 'fit-regular', 'fit-oversize']]",['fit-slim'],fit-slim denim_shirt
98,top,shirts,denim_shirt,denim_shirt,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}]","[['fit-slim', 'fit-regular', 'fit-oversize']]",['fit-regular'],fit-regular denim_shirt
99,top,shirts,denim_shirt,denim_shirt,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}]","[['fit-slim', 'fit-regular', 'fit-oversize']]",['fit-oversize'],fit-oversize denim_shirt
100,top,shirts,linen_shirt,linen_shirt,"[{'name': 'fit', 'values': ['regular', 'oversize']}]","[['fit-regular', 'fit-oversize']]",['fit-regular'],fit-regular linen_shirt
101,top,shirts,linen_shirt,linen_shirt,"[{'name': 'fit', 'values': ['regular', 'oversize']}]","[['fit-regular', 'fit-oversize']]",['fit-oversize'],fit-oversize linen_shirt
102,top,blouses,short_sleeve_blouse,short_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-slim', 'neckline-round_neck']",fit-slim neckline-round_neck short_sleeve_blouse
103,top,blouses,short_sleeve_blouse,short_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-slim', 'neckline-V-neck']",fit-slim neckline-V-neck short_sleeve_blouse
104,top,blouses,short_sleeve_blouse,short_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-slim', 'neckline-U-neck']",fit-slim neckline-U-neck short_sleeve_blouse
105,top,blouses,short_sleeve_blouse,short_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-slim', 'neckline-boat_neck']",fit-slim neckline-boat_neck short_sleeve_blouse
106,top,blouses,short_sleeve_blouse,short_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-regular', 'neckline-round_neck']",fit-regular neckline-round_neck short_sleeve_blouse
107,top,blouses,short_sleeve_blouse,short_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-regular', 'neckline-V-neck']",fit-regular neckline-V-neck short_sleeve_blouse
108,top,blouses,short_sleeve_blouse,short_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-regular', 'neckline-U-neck']",fit-regular neckline-U-neck short_sleeve_blouse
109,top,blouses,short_sleeve_blouse,short_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-regular', 'neckline-boat_neck']",fit-regular neckline-boat_neck short_sleeve_blouse
110,top,blouses,short_sleeve_blouse,short_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-oversize', 'neckline-round_neck']",fit-oversize neckline-round_neck short_sleeve_blouse
111,top,blouses,short_sleeve_blouse,short_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-oversize', 'neckline-V-neck']",fit-oversize neckline-V-neck short_sleeve_blouse
112,top,blouses,short_sleeve_blouse,short_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-oversize', 'neckline-U-neck']",fit-oversize neckline-U-neck short_sleeve_blouse
113,top,blouses,short_sleeve_blouse,short_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-oversize', 'neckline-boat_neck']",fit-oversize neckline-boat_neck short_sleeve_blouse
114,top,blouses,long_sleeve_blouse,long_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-slim', 'neckline-round_neck']",fit-slim neckline-round_neck long_sleeve_blouse
115,top,blouses,long_sleeve_blouse,long_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-slim', 'neckline-V-neck']",fit-slim neckline-V-neck long_sleeve_blouse
116,top,blouses,long_sleeve_blouse,long_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-slim', 'neckline-U-neck']",fit-slim neckline-U-neck long_sleeve_blouse
117,top,blouses,long_sleeve_blouse,long_sleeve_blouse,"[{'name': 'fit', 'values': ['slim', 'regular', 'oversize']}, {'name': 'neckline', 'values': ['round_neck', 'V-neck', 'U-neck', 'boat_neck']}]","[['fit-slim', 'fit-regular', 'fit-oversize'], ['neckline-round_neck', 'neckline-V-neck', 'neckline-U-neck', 'neckline-boat_neck']]","['fit-slim', 'neckline-boat_neck']",fit-slim neckline-boat_neck long_sleeve_blouse
